dz,place,distance,LSOA01NM,TTWA01CD,TTWA01CDO,TTWA01NM,LAD07CD,LAD07NM,area
S01001537,Glasgow,15123.869139537628,NA,S22000018,089,Glasgow,200,East Dunbartonshire,6797117.135757417
S01001538,Glasgow,11771.052124730297,NA,S22000018,089,Glasgow,200,East Dunbartonshire,3612201.7566485866
S01001539,Glasgow,12286.502747193514,NA,S22000018,089,Glasgow,200,East Dunbartonshire,232006.85565152572
S01001540,Glasgow,13389.130943763646,NA,S22000018,089,Glasgow,200,East Dunbartonshire,14831186.725652754
S01001541,Glasgow,12666.961691025881,NA,S22000018,089,Glasgow,200,East Dunbartonshire,178006.12242729965
S01001542,Glasgow,12688.62250426362,NA,S22000018,089,Glasgow,200,East Dunbartonshire,139255.95851888988
S01001543,Glasgow,13104.56745242248,NA,S22000018,089,Glasgow,200,East Dunbartonshire,292360.45076709456
S01001544,Glasgow,14302.744405000887,NA,S22000018,089,Glasgow,200,East Dunbartonshire,7788516.701452049
S01001545,Glasgow,13247.91152135158,NA,S22000018,089,Glasgow,200,East Dunbartonshire,138453.03072695888
S01001546,Glasgow,13188.376970467616,NA,S22000018,089,Glasgow,200,East Dunbartonshire,207182.66923917955
S01001547,Glasgow,13543.92213437564,NA,S22000018,089,Glasgow,200,East Dunbartonshire,413025.1204230213
S01001548,Glasgow,14703.143132829715,NA,S22000018,089,Glasgow,200,East Dunbartonshire,28528943.183648225
S01001549,Glasgow,15420.718199156214,NA,S22000018,089,Glasgow,200,East Dunbartonshire,27622023.342463326
S01001550,Edinburgh,23973.470429243436,NA,S22000012,079,Edinburgh,210,East Lothian,41450290.21743819
S01001551,Edinburgh,30403.968488180144,NA,S22000012,079,Edinburgh,210,East Lothian,79786376.78995505
S01001552,Edinburgh,19000.40011639109,NA,S22000012,079,Edinburgh,210,East Lothian,19939991.91708511
S01001553,Edinburgh,34589.68729681821,NA,S22000012,079,Edinburgh,210,East Lothian,82892296.75895537
S01001554,Edinburgh,18567.83326002309,NA,S22000012,079,Edinburgh,210,East Lothian,4587659.368481564
S01001555,Edinburgh,11399.439267469168,NA,S22000012,079,Edinburgh,210,East Lothian,3579410.8895588345
S01001556,Edinburgh,16336.243118845923,NA,S22000012,079,Edinburgh,210,East Lothian,237306.76687489467
S01001557,Edinburgh,19864.488663828462,NA,S22000012,079,Edinburgh,210,East Lothian,15145603.64530376
S01001558,Edinburgh,16352.652145069487,NA,S22000012,079,Edinburgh,210,East Lothian,6789750.718763447
