lsoa,place,distance,area
E01000194,London,15180.5473420643,332326.315783999
E01000195,London,16698.9564567997,315271.685164003
E01000196,London,11159.4815815901,245787.176738994
E01000197,London,10875.225120367,277045.451487502
E01000198,London,11477.9485791377,329204.096001497
E01000199,London,11619.0598827534,338086.229916998
E01000200,London,11194.3750337615,277825.2152465
E01000201,London,10757.8535104649,393640.309551501
E01000202,London,10779.8835198289,225986.238576499
E01000203,London,10492.9422212272,305180.404472499
E01000204,London,11726.4628466266,316556.037064003
E01000205,London,9861.90145873803,380385.136186007
E01000206,London,8343.3145431236,1321155.25780449
E01000207,London,9218.7123875465,346782.764535498
E01000208,London,9257.67779406382,406829.631696001
E01000209,London,9590.24780682351,401403.478367998
E01000210,London,9938.78406475437,496392.392040996
E01000211,London,9968.80321783212,274211.871270506
E01000212,London,9019.88654036069,347780.828549511
E01000213,London,8881.19322466281,424692.000900995
E01000214,London,8518.12332850668,331257.169498006
E01000215,London,9828.28260747697,218821.768357996
E01000216,London,9374.73752487883,194939.9542165
E01000217,London,9878.86485984096,214660.269520001
E01000218,London,9463.4284753935,151662.726563497
E01000219,London,9532.21931673026,191301.844969999
E01000220,London,9286.28099462419,153231.2720235
E01000221,London,9537.65818442157,421645.268804497
E01000222,London,8989.21919144323,415979.089507499
E01000223,London,9240.83184349107,544403.658942999
E01000224,London,8642.34534064514,160526.027757999
E01000225,London,10262.0506087677,310442.680867497
E01000226,London,14795.0884174387,173066.771776
E01000227,London,15177.7291790723,255733.43273
E01000228,London,16436.3583881881,2886381.9868725
E01000229,London,16038.6976020854,279893.683565999
E01000230,London,16014.5734590641,271367.025138003
E01000231,London,15772.5245791627,364978.460078496
E01000232,London,15406.7419907815,298397.561030498
E01000233,London,14948.8380988849,264687.675294502
E01000234,London,14823.9962373465,276335.821056
E01000235,London,14247.5594239517,350795.881718997
E01000236,London,10361.7042583044,229262.383387004
E01000237,London,10880.7821592552,324445.805011002
E01000238,London,10714.8520399285,211226.679160994
E01000239,London,11784.3561788291,429524.663548498
E01000240,London,12271.0918499625,440874.181780005
E01000241,London,11736.8184139569,339703.772790499
E01000242,London,11239.3691323604,276402.958330002
E01000243,London,11195.3600609254,183657.164420501
E01000244,London,11506.7752602838,223745.169930497
E01000245,London,10893.6697078903,181070.358159499
E01000246,London,17252.3223415995,1076376.98932198
E01000247,London,16915.5480905834,265671.860663011
E01000248,London,17371.9059909106,270831.927865001
E01000249,London,17812.8962093926,812950.249783
E01000250,London,17185.95561644,581577.905340499
E01000251,London,16454.7565278631,223067.703985001
E01000252,London,16464.6613304805,234920.391623997
E01000253,London,17636.6307121501,3316825.794558
E01000254,London,18145.1079192191,1526796.64598549
E01000255,London,13793.9057102277,1068254.224646
E01000256,London,13562.1792788129,561888.320911498
E01000257,London,12539.3104584788,679998.899445495
E01000258,London,14219.3723427661,798050.349895998
E01000259,London,12361.9744389975,1284031.201135
E01000260,London,12962.9057121629,816309.019383503
E01000261,London,14844.1612088833,1197180.84720902
E01000262,London,13463.5757690565,2209580.89214349
E01000263,London,15014.4437301683,394110.144302495
E01000264,London,14896.355504008,377856.0213515
E01000265,London,13340.1274140982,210731.208682503
E01000266,London,13298.7131593624,642297.218567504
E01000267,London,15362.9507564128,279425.385227009
E01000268,London,16111.6489966234,252466.363313005
E01000269,London,15759.1049656301,271685.502361497
E01000270,London,15840.9995092871,252045.452474497
E01000271,London,15163.5927945594,342138.192911003
E01000272,London,14515.1229722365,469604.164087503
E01000273,London,14314.7392553167,329361.528546498
E01000274,London,13753.5152341671,267149.150754495
E01000275,London,13345.5983380742,331156.134014495
E01000276,London,13483.5682543419,512673.315969007
E01000277,London,13008.6234989825,185073.1582765
E01000278,London,12797.7707328539,275261.7571555
E01000279,London,15147.694261441,5043011.99678751
E01000280,London,14752.6848162651,1016102.6980255
E01000281,London,13955.1009047366,269128.827307999
E01000282,London,14281.3365144005,528732.578864499
E01000283,London,13827.0680583214,330542.897815512
E01000284,London,13552.873879695,275956.811956996
E01000285,London,16493.9454339022,201992.590812004
E01000286,London,16917.7919962558,269145.069474501
E01000287,London,16400.3667007192,273420.448073497
