lsoa,ttwa_code,ttwa_name,change_in_id_share_in_ttwa
E01021831,E30000186,Cambridge,-3.9690317508665404e-5
E01021832,E30000186,Cambridge,6.636316224755464e-4
E01021833,E30000186,Cambridge,-1.59437511931895e-4
E01021834,E30000186,Cambridge,5.405490391374732e-4
E01021835,E30000186,Cambridge,-2.674477327263376e-4
E01021836,E30000186,Cambridge,-0.001025433904260683
E01021837,E30000186,Cambridge,4.680085828706604e-5
E01021838,E30000186,Cambridge,-2.4151034329594496e-4
E01021839,E30000186,Cambridge,-8.083367645025097e-4
E01021840,E30000186,Cambridge,-5.339296860080948e-4
E01021841,E30000186,Cambridge,-9.329053957045706e-4
E01021842,E30000186,Cambridge,-0.001453970052374228
E01021843,E30000186,Cambridge,0.0011787121236970996
E01021844,E30000186,Cambridge,-8.217415751978156e-4
E01021845,E30000186,Cambridge,-9.91992769052299e-4
E01021846,E30000186,Cambridge,-3.638570578309965e-4
E01021847,E30000186,Cambridge,-2.862092394173947e-4
E01021848,E30000186,Cambridge,0.0012546969140110795
E01021849,E30000186,Cambridge,-9.545236667942662e-5
E01021850,E30000186,Cambridge,5.019636145180903e-4
E01021851,E30000186,Cambridge,2.21581399535019e-4
E01021852,E30000186,Cambridge,-3.8464274442820846e-4
E01021853,E30000186,Cambridge,-5.498839465727487e-4
E01021854,E30000186,Cambridge,-9.973971399901199e-5
E01021855,E30000186,Cambridge,-0.001414548918438712
E01021856,E30000186,Cambridge,5.4868067015262714e-5
E01021857,E30000186,Cambridge,0.0018531467544615032
E01021858,E30000186,Cambridge,-0.0018866464660310146
E01021859,E30000186,Cambridge,-0.0022261600164490943
E01021860,E30000186,Cambridge,-8.950404625714696e-4
E01021861,E30000186,Cambridge,-0.001966287581983435
E01021862,E30000186,Cambridge,-6.686011886790763e-4
E01021863,E30000186,Cambridge,-5.086346709096022e-4
E01021864,E30000186,Cambridge,-0.0014858500777691222
E01021865,E30000186,Cambridge,-1.73754184065619e-4
E01021866,E30000234,London,1.3413102732244602e-5
E01021867,E30000186,Cambridge,-1.272464244695857e-4
E01021868,E30000186,Cambridge,-6.293694882950696e-4
E01021869,E30000186,Cambridge,-1.0618319174314148e-4
E01021870,E30000186,Cambridge,-9.749110744383498e-5
E01021871,E30000186,Cambridge,-9.701133136408302e-5
E01021872,E30000186,Cambridge,0.002359692511080567
E01021873,E30000188,Chelmsford,-2.227959956531281e-4
E01021874,E30000188,Chelmsford,-0.0010405300879288981
E01021875,E30000188,Chelmsford,3.3717354980548767e-4
E01021878,E30000188,Chelmsford,4.43648932600352e-4
E01021879,E30000188,Chelmsford,2.5602947263136423e-5
E01021880,E30000188,Chelmsford,-5.97704967876876e-4
E01021881,E30000188,Chelmsford,4.18926928566449e-4
E01021882,E30000188,Chelmsford,2.426097693483541e-4
E01021883,E30000188,Chelmsford,-0.0010286886147754162
E01021884,E30000188,Chelmsford,5.925726079124317e-4
E01021885,E30000188,Chelmsford,5.180029446057253e-5
E01021886,E30000188,Chelmsford,7.642370467832926e-4
E01021887,E30000188,Chelmsford,-4.0234677593213976e-4
E01021888,E30000188,Chelmsford,6.093318962631569e-4
E01021889,E30000188,Chelmsford,-0.002022203800804156
E01021890,E30000188,Chelmsford,7.475093878308624e-4
E01021891,E30000188,Chelmsford,5.348645384894296e-4
