dz_2011,year,pop_total,pop_workingage,pop_incomedeprived,simd_score
S01006547,2012,842.333333333333,479,78.3333333333333,17.6827860174057
S01006548,2004,770,421,0,4.888528328
S01006548,2006,747,389,8,3.9176647262
S01006548,2009,731,366,5,3.51944345460231
S01006548,2012,764,406,15,3.9715578699594
S01006549,2004,768.444444444444,432.888888888889,7.11111111111111,3.79351279357778
S01006549,2006,779.888888888889,448.333333333333,15.2222222222222,3.35713971391111
S01006549,2009,817,486.666666666667,21.1111111111111,3.82655313370788
S01006549,2012,865.555555555556,504.666666666667,21.1111111111111,4.1410037023663
S01006550,2004,956.777777777778,532,26.3333333333333,4.96765287026667
S01006550,2006,890,473.111111111111,21.3333333333333,3.94042072367778
S01006550,2009,916.666666666667,487.222222222222,13.3333333333333,2.80993832244855
S01006550,2012,948.555555555556,538.666666666667,11.6666666666667,3.76278096451303
S01006551,2004,743.8,387.2,91.8,21.6388899553
S01006551,2006,704.2,365.8,96.2,24.6943210943
S01006551,2009,745.8,401.6,94.5,23.0544208307706
S01006551,2012,751.7,415.6,101.5,23.953488737126
S01006552,2004,882,550.9,60.4,10.70723057935
S01006552,2006,819.3,528.2,50.3,11.72335280412
S01006552,2009,779.1,503.3,60,11.6680562650294
S01006552,2012,808.9,520,47.5,11.0769448644295
S01006553,2004,796.8,405,72.4,13.166212363
S01006553,2006,777.4,387.4,75.8,11.9529593084
S01006553,2009,754.2,392,75,11.8347005889266
S01006553,2012,783.6,402.2,68,13.2235244003031
S01006554,2004,736.4,401,95.2,17.4978973148
S01006554,2006,686.3,368.4,83.1,16.7794382803
S01006554,2009,673.6,363.7,87.5,17.5072801673668
S01006554,2012,697.6,393.9,62,15.8130528188308
S01006555,2004,860.222222222222,468.555555555556,149.222222222222,24.5747568386667
S01006555,2006,758.111111111111,442.333333333333,121.666666666667,26.9109729742222
S01006555,2009,747.444444444444,465.777777777778,142.222222222222,25.928533064031
S01006555,2012,784,507,120.555555555556,24.5469464438856
S01006556,2004,854.222222222222,457.888888888889,133.555555555556,22.8643332421111
S01006556,2006,795.888888888889,424.555555555556,134.111111111111,25.4921352637778
S01006556,2009,797.222222222222,444.444444444444,121.666666666667,22.698802858231
S01006556,2012,816.666666666667,490.111111111111,122.222222222222,21.4435090995306
S01006557,2004,772.5,451.25,148.5,23.163705630375
S01006557,2006,744.625,441.75,145.375,27.15336552725
S01006557,2009,717.625,429.25,148.75,28.2064130165272
S01006557,2012,717.75,438.875,96.25,25.9095196699659
S01006558,2004,740.714285714286,507.571428571429,16.8571428571429,3.37314741572857
S01006558,2006,664.571428571429,447.714285714286,16.8571428571429,4.69894489342857
S01006558,2009,672,447.142857142857,16.4285714285714,3.82840304636604
S01006558,2012,665.285714285714,436.857142857143,17.8571428571429,4.83666233272684
S01006559,2004,618,379.571428571429,18.4285714285714,2.10991324827143
S01006559,2006,622.857142857143,393.857142857143,24.7142857142857,2.97673684535714
S01006559,2009,629.428571428571,403.714285714286,20,2.53999710421875
S01006559,2012,662.428571428571,435.571428571429,20,2.23998034057761
S01006560,2004,1056,599,69,3.4637000383
S01006560,2006,976,561,53,5.1558425917
S01006560,2009,956,552,50,4.83035145823453
S01006560,2012,959,577,50,6.25899470234719
S01006561,2004,834.857142857143,531.285714285714,9.85714285714286,1.24807412675714
